Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProductUnavailablePageValidation_TestSuite,Chrome 83.0.4103.97,,,2020-06-11 16:40:23,2020-06-11 16:41:56,1m - 32.976s,PASSED
,,,,,,,
Test Cases/Smoke_Demo/ProductUnavailablePageValidation,Chrome 83.0.4103.97,,,2020-06-11 16:40:24,2020-06-11 16:41:56,1m - 32.405s,PASSED
url = url,Chrome 83.0.4103.97,,,2020-06-11 16:40:25,2020-06-11 16:40:26,0.705s,PASSED
applicationName = applicationName,Chrome 83.0.4103.97,,,2020-06-11 16:40:26,2020-06-11 16:40:26,0.026s,PASSED
deviceType = deviceType,Chrome 83.0.4103.97,,,2020-06-11 16:40:26,2020-06-11 16:40:26,0.004s,PASSED
isCanonical = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 83.0.4103.97,,,2020-06-11 16:40:26,2020-06-11 16:40:26,0.002s,PASSED
"if (url.contentEquals(""parenting"") || url.contentEquals(""realsimple"") || url.contentEquals(""people""))",Chrome 83.0.4103.97,,,2020-06-11 16:40:26,2020-06-11 16:40:26,0.004s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:40:26,2020-06-11 16:40:26,0.007s,PASSED
"openBrowser("""")",Chrome 83.0.4103.97,,,2020-06-11 16:40:26,2020-06-11 16:40:32,6.408s,PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-11 16:40:32,2020-06-11 16:40:33,1.266s,PASSED
"navigateToUrl(url, STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:40:33,2020-06-11 16:41:22,48.192s,PASSED
"if (applicationName.equalsIgnoreCase(""more""))",Chrome 83.0.4103.97,,,2020-06-11 16:41:22,2020-06-11 16:41:22,0.002s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:41:22,2020-06-11 16:41:32,10.457s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageLogo""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:32,2020-06-11 16:41:47,14.926s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageFooterLogo""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:47,2020-06-11 16:41:53,6.326s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageFooterCopyright""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:53,2020-06-11 16:41:55,2.037s,PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-11 16:41:55,2020-06-11 16:41:56,0.891s,PASSED
